Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket,Over_ave_price
82836,-37.908866,145.251074,6 Erskine Drive,ROWVILLE,3753000,house,2011,4,2,1,SC_049,5.2723,19868,4.92,0,hospital_026,4.6926,S_027,2.049,False
22777,-37.74665200000001,144.97061599999995,41 Coburg Street,COBURG,8176000,house,2011,3,1,2,SC_030,2.4018,19965,0.8003,0,hospital_144,1.099,S_173,0.5983,False
30853,-37.756321,145.018194,176 Collins Street,THORNBURY,3168000,house,2013,4,2,3,SC_047,2.2477,20014,1.7328,0,hospital_035,1.1694,S_105,1.4087,False
67729,-37.741383,145.344518,84 The Gateway,LILYDALE,17930000,house,2010,3,2,2,SC_084,3.2757,19876,1.5983,0,hospital_151,1.6431,S_233,1.9117,True
4622,-37.837099,144.87803200000005,69A Elizabeth Street,NEWPORT,5085000,house,2013,2,1,1,SC_033,2.9845,19994,0.7942,20,hospital_141,3.0566,S_056,2.7834,False
12396,-37.720899,144.772745,16 Brampton Cct,DELAHEY,5418000,house,2010,3,2,2,SC_048,3.0602,20001,2.0704,36,hospital_057,5.7388,S_094,2.0923,True
60233,-37.820297,145.204058,7 Willow Avenue,MITCHAM,7910000,house,2011,3,1,1,SC_088,2.1555,19901,0.7833,0,hospital_010,1.4026,S_040,2.3619,False
73813,-37.86257935,145.2630158,52A Dixon Court,BORONIA,6480000,house,2009,3,1,0,SC_049,5.3235,19869,1.8929,0,hospital_002,0.9126,S_024,1.898,True
42197,-37.765983,145.066094,4 Lawrence Street,EAGLEMONT,16100000,house,2014,3,2,2,SC_017,1.1576,19935,1.1001,26,hospital_046,1.0753,S_100,0.7868,True
30752,-37.76036835,145.00959780000005,145 Clarendon Street,THORNBURY,7704000,house,2009,2,1,1,SC_103,2.4096,20014,1.1366,0,hospital_035,0.3223,S_105,1.1606,False
75353,-37.887625,145.067608,6/21 Adelaide Street,MURRUMBEENA,6525000,house,2016,2,1,1,SC_041,0.8487,19919,0.2872,30,hospital_108,2.3615,S_048,0.9029,False
4070,-37.841894,144.874799,115 Mason Street,NEWPORT,9435000,house,2012,3,1,1,SC_033,2.9914,19994,0.7791,20,hospital_141,2.7163,S_056,2.5957,True
90318,-37.97246552,145.0571747,22 Gillman Street,CHELTENHAM,6100000,house,2008,3,1,1,SC_003,2.8024,19866,0.6869,37,hospital_055,0.9493,S_011,1.1128,False
79291,-37.94337082,145.16499330000005,65 Garnsworthy Street,SPRINGVALE,4539000,house,2006,3,1,1,SC_073,4.5223,19913,1.222,44,hospital_124,3.3318,S_075,1.6269,False
50687,-37.789721,145.139757,1/24 Burilla Avenue,DONCASTER,7840000,house,2013,3,1,1,SC_091,1.2461,19897,3.4584,0,hospital_194,2.8266,S_188,1.4189,False
85590,-37.8975766,145.010275,38 Magnolia Road,GARDENVALE,16100000,house,2011,3,2,2,SC_023,3.723,19953,0.5453,19,hospital_013,0.2938,S_151,1.0694,False
61974,-37.82012,145.239575,41 Heathmont Road,RINGWOOD,7728000,house,2016,3,2,1,SC_032,1.2521,19871,1.0126,0,hospital_105,1.0462,S_190,1.2511,True
63699,-37.811585,145.280691,18 Araluen Drive,CROYDON,8895000,house,2016,3,2,1,SC_022,1.4072,19878,1.7976,0,hospital_164,2.2481,S_055,1.2876,True
93758,-38.021983,145.10728799999995,9 Tarongo Drive,ASPENDALE,7150000,house,2014,3,2,2,SC_003,5.8821,19862,0.7368,46,hospital_001,4.6172,S_119,2.3808,False
69135,-37.845011,145.037972,4 Milton Parade,MALVERN,13920000,house,2010,3,2,2,SC_038,2.6587,19911,0.5868,15,hospital_168,1.4961,S_235,1.8674,False
68277,-37.855245,145.025691,11/7 Mercer Road,ARMADALE,22220000,house,2016,3,2,2,SC_038,2.2399,19945,0.5754,23,hospital_092,0.9969,S_235,0.6191,True
60730,-37.837442,145.203197,4 Kay Court,VERMONT,7578000,house,2015,4,2,2,SC_088,2.8949,19901,2.2301,0,hospital_008,2.4692,S_202,2.8098,False
54009,-37.820279,145.02503000000004,100 Elgin Street,HAWTHORN,9500000,house,2011,3,1,0,SC_083,0.9287,19905,0.2545,18,hospital_086,0.5278,S_208,0.9178,False
87149,-37.912904,145.005606,83 William Street,BRIGHTON,16920000,house,2012,3,2,2,SC_046,4.1265,19951,0.8542,22,hospital_156,1.2405,S_151,0.7419,False
49751,-37.80753326,145.09133909999997,85 Winmalee Road,BALWYN,11300000,house,2009,3,1,1,SC_020,2.962,19896,1.8194,0,hospital_117,2.2544,S_136,0.9843,False
95000,-37.910929,145.039356,187 McKinnon Road,MCKINNON,6900000,house,2011,2,1,1,SC_046,3.1817,19940,0.1157,36,hospital_126,2.0977,S_107,0.9873,False
45828,-37.712602,145.125111,14 St Faiths Road,MONTMORENCY,7900000,house,2014,3,3,1,SC_051,5.2993,19986,0.4361,40,hospital_075,1.8879,S_210,2.249,False
7357,-37.748405,144.764182,27 Albanvale Drive,ALBANVALE,8250000,house,2016,4,2,2,SC_048,2.6339,20002,3.1817,33,hospital_057,4.6284,S_070,0.8676,True
57103,-37.819088,145.06051599999995,19 Torrington Street,CANTERBURY,10530000,house,2010,3,1,1,SC_099,0.6243,19853,0.8478,25,hospital_064,1.5786,S_113,1.1323,False
1224,-37.798272,144.891059,58 Wolverhampton Street,FOOTSCRAY,8793000,house,2016,4,2,1,SC_043,2.6495,20024,0.4726,17,hospital_003,0.6937,S_201,0.6706,True
74025,-37.869057,145.29630500000005,8 Sassafras Court,BORONIA,4545000,house,2011,4,2,2,SC_049,3.0106,19868,1.4102,0,hospital_049,1.3945,S_146,1.1988,False
3548,-37.812957,144.86584399999995,44 Kidman Street,YARRAVILLE,6955000,house,2011,3,1,3,SC_043,2.182,20022,1.5469,21,hospital_056,2.8416,S_149,2.1816,False
6402,-37.777528,144.822882,2/65 Sydney Street,ALBION,15340000,house,2011,3,2,1,SC_102,1.0817,20004,0.1609,28,hospital_174,0.8485,S_080,1.0082,True
7021,-37.78581238,144.8193054,8 Mcintosh Street,SUNSHINE,3014000,house,2008,3,1,1,SC_102,1.3137,20004,1.025,28,hospital_174,1.473,S_080,1.2994,False
62703,-37.827852,145.23343799999995,20 Valerie Court,HEATHMONT,14569000,house,2015,3,2,3,SC_032,1.7292,19871,0.9789,0,hospital_105,2.0445,S_040,1.8173,True
36045,-37.680666,145.03649,7 Bates Avenue,THOMASTOWN,3465000,house,2013,3,1,2,SC_062,5.3912,20007,1.9571,0,hospital_041,2.6222,S_228,1.9297,False
66923,-37.739788,145.3456768,11 Glenloth Avenue,LILYDALE,6825000,house,2012,3,2,2,SC_084,3.4618,19876,1.7601,0,hospital_151,1.7237,S_233,2.0627,False
54202,-37.817858,145.02926100000005,1A Linda Crescent,HAWTHORN,21000000,house,2014,3,3,3,SC_083,0.6277,19905,0.7128,18,hospital_086,0.2203,S_208,0.5934,True
76309,-37.89227,145.079422,563 Neerim Road,HUGHESDALE,12000000,house,2008,3,1,1,SC_087,0.4692,19918,0.3304,32,hospital_166,2.4588,S_167,0.469,True
76741,-37.922223,145.111164,29 Harlington Street,CLAYTON,10880000,house,2010,3,1,2,SC_087,4.5725,19915,0.8672,39,hospital_076,0.8278,S_169,0.7745,True
17956,-37.692749,144.926345,1/3 Evans Court,BROADMEADOWS,3740000,house,2015,3,2,3,SC_059,3.6808,20031,0.9617,34,hospital_104,4.7102,S_209,1.4895,False
6943,-37.792575,144.837339,7 Drayton Street,SUNSHINE,7275000,house,2012,4,2,2,SC_102,1.1878,20021,0.5967,25,hospital_174,1.7101,S_080,1.2739,True
71843,-37.84983826,145.2306519,9 Badminton Court,WANTIRNA,2400000,house,2005,3,1,0,SC_032,4.1314,19871,2.6889,0,hospital_179,0.278,S_226,2.0971,False
